cbsa,solar_system_count_residential,land_area,household_count,population,panels_per_house,housing_density
"Orlando-Kissimmee-Sanford, FL",22870.0,3478.4840419999996,798168,2277816,0.0286531156348037,229.45857746154354
"Tampa-St. Petersburg-Clearwater, FL",22867.0,2513.4371367799986,1145501,2888458,0.01996244438023188,455.75080563483607
"Boston-Cambridge-Newton, MA-NH",26942.0,3487.4094270699998,1776440,4694565,0.01516628763144266,509.386705848445
"New York-Newark-Jersey City, NY-NJ-PA",72270.0,6686.899931690013,6889165,19307638,0.010490385990174426,1030.2479580038919
"Portland-Vancouver-Hillsboro, OR-WA",9008.0,6683.747549800002,886763,2320323,0.01015829483187729,132.67452030358845
"Detroit-Warren-Dearborn, MI",2243.0,3888.4047888800005,1662948,4296416,0.0013488094636753525,427.6684373899736
"Pittsburgh, PA",1121.0,5281.476284819994,991522,2358926,0.0011305851004818853,187.73576676843746
"Houston-The Woodlands-Sugar Land, TX",2439.0,8258.245215539999,2168642,6346653,0.0011246669574784588,262.6032460163747
"Chicago-Naperville-Elgin, IL-IN-WI",3821.0,7196.805076492008,3448499,9534008,0.0011080183001357983,479.17082140578515
"Atlanta-Sandy Springs-Alpharetta, GA",1780.0,8685.890415339998,1964316,5535837,0.0009061678467211996,226.15021673896047
